course,review,stars,provider
Car Mechanic Training - CPD Accredited,"I was slightly disappointed with the questions in the Mock Exam and the Final Exam. The questions seemed to lean more towards health and safety than anything else. Having been a car mechanic for quite a few decades, I would have enjoyed more challenging questions regarding diagnostics and repairs, rather than discussing colour coding of fuses. Anyway, I enjoyed the course, even though I learnt nothing, because I already knew most of it, except for the colour coding and the hybrid cars.",4.0,one_education
Microsoft Excel Ultimate 5 Courses Bundle with 100+ Exclusive Excel Templates,,5.0,one_education
Visual Merchandising Diploma - CPD Accredited,,5.0,one_education
Mental Health Nursing – Level 3 Training Diploma - CPD Accredited,Worthy course to do when we consider how remote and isolated many youngsters find themselves due to the lack of investment mental health services has seen over the past 30 years.,4.3,one_education
Professional Tattoo Artist - CPD Accredited,Course contained glaring errors in both content and exam. 'hypodermis'.... Google it! And apparently 'nautical star' tattoos are older than Polynesian tribal tattoos! Avoid.,1.3,one_education
Car Mechanic Training - CPD Accredited,"Have not start receiving lectures on the course over two weeks since purchase, no contact from the course handler... Thinking of requesting for my money back and maybe it a scam to defraud me",1.0,one_education
Paediatric First Aid Course - CPD Accredited,Great course very informative and excellent value for money,5.0,one_education
Quality Assurance Manager - CPD Accredited,"Very thorough, clear information that is easy to understand.This cours is all stars worth. It will boost your career and is value for money.",5.0,one_education
Airline Passenger Service Training - CPD Accredited,It’s an excellent career enhancing course indeed. Anyone can take that opportunity and enhance his/her career with the training . Personally I have found lots of knowledge through this course. I am looking forward to go ahead with the course :))),4.6,one_education
Security Management Diploma - CPD Accredited,,3.3,one_education
Office Skills and Administration - CPD Accredited,Still not received course a week after purchasing,1.0,one_education
Microsoft Excel Ultimate 5 Courses Bundle with 100+ Exclusive Excel Templates,,2.0,one_education
HR and Payroll Management with Recruitment Consultant Diploma - CPD Accredited,I liked how the course was structured. The contents were well explained along with the quizes and the activities. Overall evaluation is a quality value for money course.,4.0,one_education
Dog Care and Pet Nutrition Course,could have been more in this course what was delivered was good,2.3,one_education
UK Employment Law - CPD Accredited,Amazing,5.0,one_education
Junior School Teacher Training Course - CPD Accredited,Excellent course. Strongly recommended.,5.0,one_education
Certificate in Purchasing and Procurement - CPD Accredited,,4.0,one_education
Speech Therapist and SEN Teaching Assistant Course - CPD Accredited,Those running courses through Enhanced Limited could learn a few things from you,5.0,one_education
Lash Lift and Tint Training Course - CPD Accredited,"The lessons were clear and detailed, both visually and verbally. Great course!!!",5.0,one_education
British Sign Language Level 2 - CPD Accredited,The content of the course has been very disappointing. I only provided a list of vocabulary and no assessment as advertised.,3.0,one_education
Python 3 Programming Course for Beginners,"This course unfortunately has the same pitfalls as others of its type. While the instructor is undoubtedly knowledgeable on the subject, he fails (quite dismally at times) to pass on his knowledge in a manner befitting the idea of this course. The course is intended for beginners, not for programmers who already know a language and are trying to transfer their skillset to Python. Wouldn't recommend.",2.6,one_education
Domestic Plumbing and Heating Installer Online Course - CPD Accredited,,5.0,one_education
Visual Merchandising Diploma - CPD Accredited,Excellant,5.0,one_education
International Massage Course - CPD Accredited,,5.0,one_education
Online Nail Technician Diploma - CPD Accredited,Done to courses with them they were excellent! Now just waiting for my certificate.. :),4.6,one_education
Eyelash Extension Training Course - CPD Accredited,Lovely course as well!!,4.3,one_education
Level 3 Award in Education and Training - AET (Formerly PTLLS),Had a bit of trouble accessing the course but thanks to there learner support team for helping me with this... hope to finish the course within next week hopefully.. :),4.3,one_education
Level 3 Award in Education and Training - AET (Formerly PTLLS),Had a nice experience with One Education. Great work guys.. Keep it up,4.6,one_education
HR and Payroll Administrator Course - CPD Accredited,I paid for and started the course in January and was unable to finish. When I logged in to finish up the course had ended without my knowledge. Requested a refund which was disputed.,3.0,one_education
Self Harm - Care Assistant Training - CPD Accredited,,5.0,one_education
Domestic Gas Working Course - CPD Accredited,,5.0,one_education
Level 3 Award in Education and Training - AET (Formerly PTLLS),Halfway through the course... so far so good.,4.6,one_education
Level 3 Award in Education and Training - AET (Formerly PTLLS),Will submit my assignment soon. Amazing quality of customer service. Highly recommended.,4.6,one_education
Level 3 Award in Education and Training - AET (Formerly PTLLS),Thanks to One Education's support team. They have been brilliant support throughout my educational experience Cheers!!,4.6,one_education
Level 3 Award in Education and Training - AET (Formerly PTLLS),Thoroughly enjoying the course hopefully will finish the course in the expected time. Will highly recommend this course if anyone is getting started in AET,4.6,one_education
Welding Training Certificate – Level 2 (UK Standard) - CPD Accredited,"My friend recommended this course to me which I was a bit sceptical about, however, loved the course it as all the basics covered that you need if you are a beginner.",4.6,one_education
Cleaning Business Management - CPD Accredited,Excellent! service for the value I have paid.,4.6,one_education
Pet Sitting and Dog Walking Course Level 3 - CPD Accredited,Easy to understand and complete.,5.0,one_education
Paralegal Training - CPD Accredited,The course was not how I thought it would be and I asked for a refund of the the course fee of £10.00 and for the student lanyard for £10.98 and One Education refused to refund my money back even though I cancelled within the 14 days cooling-off period. Would not recommend anyone enrolling with them.,2.3,one_education
Diploma in Pharmacy Skills - CPD Accredited,Unfortunately I could not access the remainder of the course after starting.,3.6,one_education
Professional Tattoo Artist - CPD Accredited,I didn't expect as much good contents as you provided in this course. just became the fan of your site. :) :),5.0,one_education
Car Mechanic Training - CPD Accredited,Excellent course with all the info you need to help you pass,5.0,one_education
Anti-Money Laundering (AML) Training Course Level 3 - CPD Accredited,"The course is dated, sometimes irrelevant copy and pasted information from random sources. Links to free and sometimes irrelevant youtube videos. The exam questions are incoherent, such as ""How long should you keep?"". Total waste of time.",2.3,one_education
Microsoft Excel Ultimate 5 Courses Bundle with 100+ Exclusive Excel Templates,"The Beginner's Excel course is very good, clear and easy to follow, however, I have moved on to the ""Intermediate"" section and found that I could not download the exercises due to an error. I have posted a request to the help department, for advice, but I am still awaiting a response, hence the reason why I gave 2 stars for ""Quality of Service""",3.3,one_education
Gel Manicure and Nail Technician Diploma - CPD Accredited,"This course was mind-blowing. All topics about nail decorating, cleaning and different diseases in nail are presented beautifully...",5.0,one_education
Certificate in Copywriting - CPD Accredited,,5.0,one_education
TQUK Level 3 Certificate in Teaching Assistant (RQF),"No information to support any of the units, not enough time to do the course, asking for recordings within the school when you are not allowed to do this by law. No support during study either. Average time do do this course is in fact 12 months. Not 2 and a half weeks. Annoyed!",1.0,one_education
120 hours TEFL (TESOL) Masterclass - CPD Accredited,,2.6,one_education
Paralegal Training - CPD Accredited,This was a very good course. I learnt many new things. The course is easy to follow.,5.0,one_education
Retail Manager Training Course,The stp by stp modules wer so usful to grab! Recomndd,4.3,one_education
Online Nail Technician Diploma - CPD Accredited,"This course was mind-blowing. All topics about nail decorating, cleaning and different diseases in nail are presented beautifully...",5.0,one_education
Phlebotomist Training - CPD Accredited,"Straight forward, all info needed to know, well explained & understandable. Thanks.",5.0,one_education
Functional Maths Training Course - CPD Accredited,"Good level of exams and course is OK. The biggest problem is the tutor speaking, mostly hard to understand and to deliver a clean message of what is a topic and how to deal with it. I have to say that I looked videos in YouTube for undarstand better the sections. Maths is difficult. And with this way of explanation and talking was harder. Sorry for this comment but it's the truth about the only big problem that I find out by doing this course.",3.0,one_education
Massage Therapist and Nail Technician Course,A very well designed and well-instructed course,5.0,one_education
Online Aromatherapy Training Diploma - CPD Accredited,Excellent!!! Lots of topics are arranged in an informative way.,5.0,one_education
Pastry Chef Training - CPD Accredited,Best course I have seen for this value and is very useful and full of useful information,5.0,one_education
Life Coaching and Counselling Diploma Level 3 - CPD Accredited,"I chose this course as I wanted to learn more about life coaching. The course was rather informative and I learnt a lot of new things. The guidance through the course was good and this made progressing easy. Some of the videos were excellent and some not so great. The way the course simplified some of the concepts made learning easy and helpful. I couldn’t help notice a few typos here and there, which did not detract from the overall pleasant and easy-to-use interface. Thanks for the course.",5.0,one_education
Python 3 Programming Course for Beginners,,5.0,one_education
British Cleaning Course - CPD Accredited,Took this course. Now I can clean my indoor and outdoor in a very hygienic way.,4.6,one_education
Certificate in Purchasing and Procurement - CPD Accredited,It is just text - nothing interactive - you could find this information out for free instead of paying to read it online.,1.0,one_education
Visual Merchandising Diploma - CPD Accredited,So many convenient tips in here. I’m grateful for these!,4.6,one_education
Cyber Intelligence Officer - CPD Accredited,"The content was comprehensive and informative, well worth the cost!",5.0,one_education
Cupcake and Baking Diploma Online - CPD Accredited,unhelfull when it comes to a refund. very confusing like the courses. would not recommend,1.0,one_education
Payroll Administrator Training - CPD Accredited,"Nice course, concise and to the point",4.6,one_education
Life Coaching and Counselling Diploma Level 3 - CPD Accredited,Thank you for your course,5.0,one_education
UK Employment Law - CPD Accredited,It is very effective and informative to for all to know all the UK Employment Law.,4.6,one_education
HR Assistant Training - CPD Accredited,The ever first online course that really satisfied me with the outcomes! Keep it up!,4.6,one_education
SENCO - Special Educational Needs Coordination Course - CPD Accredited,The SENCO Coordination course provides a detailed insight into the role of SENCO is school and how they interact and influence stakeholders. This course is a must for anyone aspiring to be a SENCO or to work within a SEN environment in education.,5.0,one_education
Estate Agent Diploma Level 3 - CPD Accredited,,5.0,one_education
Safeguarding Children and Vulnerable Adults - CPD Accredited,The course materials are almost what I was looking for. Looking for doing more courses.,4.6,one_education
Diploma in Pharmacy Skills - CPD Accredited,Does this company offer course in drug calculations.,5.0,one_education
Phlebotomist Training - CPD Accredited,,5.0,one_education
Gel Manicure and Nail Technician Diploma - CPD Accredited,,3.6,one_education
Workplace Health and Safety Advanced Diploma - CPD Accredited,Great course,5.0,one_education
Pet Sitting and Dog Walking Course Level 3 - CPD Accredited,,5.0,one_education
HR Assistant Training - CPD Accredited,I have been advised this is not CIPD Accredited,1.0,one_education
Estate Agent Diploma Level 3 - CPD Accredited,Marvellous!! A lot of videos are attached. Very easy and useful for all.,4.6,one_education
Professional Tattoo Artist - CPD Accredited,Excellent!! So many modules are arranged in the course. Easy to catch every topic.,4.6,one_education
Procurement Management Training - CPD Accredited,Excellent course!! I took the course and it is very helpful in my workplace.,5.0,one_education
Criminal Psychology Course Level 3 - CPD Accredited,Highly recommended to this course. Very much informative to be e practitioner.,4.6,one_education
Level 3 Award in Education and Training - AET (Formerly PTLLS),"to One education and reed and co, I have to say that I am still unable to start the course, I have been in touch by phone and assured that I do not have to pay the £10 fee for the course again, but i still am unable to get into the course that is in my basket I am very frustrated as i have never had a problem with other courses.",2.3,one_education
Paralegal Training - CPD Accredited,"If you want to learn about the UK legal system this is not for you. This course is mostly based on the US legal system, courts, and law. The providet should have been more clear on their description. To be honest some basic reading material and useless videos which are all based on US legal system.",1.0,one_education
Diploma in Medical Secretary - CPD Accredited,,5.0,one_education
Paralegal Training - CPD Accredited,"This is a basic overview, of content you will have already read in your Law degree. Nothing procedural based to actually help you perform the roles or tell you the basics. I am disappointed.",2.3,one_education
SEO and Digital Media Marketing Diploma - CPD Accredited,The SEO ‘course’ is merely bits of information cut and paste from the Internet (which are littered with spelling mistakes) and cobbled together with outdated YouTube videos. If you call this rubbish a ‘diploma’ and charge people £425 for it then at least have the decency to proof read it. One of the questions was: ‘which of the following is not incorrect?’ At least use proper English if you claim to be an educational body. Charging £425 for this garbage is nothing but a scam. Avoid.,1.0,one_education
UK Employment Law - CPD Accredited,"A detailed course that covers all the information you might need about employment law. The course explains how each process works, employee and employer options, legal requirements even down to the details that need to be included on individual letters. Also website addresses of of governing bodies or where to get further advice. Anyone who has a need to acquire how employment law works would undoubtedly benefit from this course",5.0,one_education
Warehouse and Stockroom Assistant Training Course - CPD Accredited,"According to my opinion, the content of the course is sophisticated enough, although it goes into theoretical material and provides a good vocabulary for the subject, indeed.",4.6,one_education
Financial Consultant Training - CPD Accredited,,3.3,one_education
Freelance Barber Training - CPD Accredited,"I'm new, so looking forward to my learning.",2.0,one_education
SENCO - Special Educational Needs Coordination Course - CPD Accredited,Not really inspiring me to take it up as a profession.,3.0,one_education
Criminal Intelligence Analyst - CPD Accredited,,4.6,one_education
Criminal Intelligence Analyst - CPD Accredited,,5.0,one_education
Data Entry Administrator Training - CPD Accredited,This is an amazing course. I got it on impulse as always wanted to go into Data Entry. This has helped me loads.,5.0,one_education
Phlebotomist Training - CPD Accredited,,5.0,one_education
Security Management Diploma - CPD Accredited,,4.0,one_education
Car Mechanic Training - CPD Accredited,I cannot access the course How doI go about this please?,1.0,one_education
Security Guard Training - CPD Accredited,looks good to further my career,4.6,one_education
Criminal Intelligence Analyst - CPD Accredited,Indepth piece of crafted knowledge and technical know how course.,5.0,one_education
Microsoft Excel Ultimate 5 Courses Bundle with 100+ Exclusive Excel Templates,"I found this course very helpful to master in excel, specially I used my learning experience in the templates provided with this course.",5.0,one_education
Phlebotomist Training - CPD Accredited,Very much detailed course with proper illustrations.,4.6,one_education
Level 3 Certificate in Assessing Vocational Achievement (CAVA) (RQF) – A1 Assessors Award,Learned a lot and earned the skills needed for my chosen career in the education industry. Recommended to other aspirants of the education and training sector as an assessor. A well-earned 5 stars for the easy to grasp course contents!,5.0,one_education
Speech Therapist and SEN Teaching Assistant Course - CPD Accredited,Hard to access I’m sorry,2.0,one_education
Sage 50 Accounting and Payroll 2018 - CPD Accredited,I am not happy with the service from the provider. i would not recommend to anyone looking to purchase.,1.0,one_education
Diploma in Medical Secretary - CPD Accredited,Common basic knowledge that you can google for free!,1.6,one_education
Estate Agent Diploma Level 3 - CPD Accredited,,4.0,one_education
TQUK Level 5 Diploma in Education and Training (RQF),The only reason I have left one star is because I had no choice. I purchased this course after receiving the wrong information I then had to request a refund One education are dragging there feet about this and have not bothered to respond unless to say they have other courses I might be interested in or my friends may be interested in. Avoid and spend your hard earned cash else where they don’t even have a proper call centre.,1.0,one_education
Level 3 Certificate in Assessing Vocational Achievement (CAVA) (RQF) – A1 Assessors Award,"Given wrong information that lead me to buy the course then I had to request a refund, company tried to offer me courses I did not want Reed may only be advertising but I had higher hopes Useless",1.0,one_education
HR and Payroll Administrator Course - CPD Accredited,,3.0,one_education
UK Employment Law - CPD Accredited,Great informative course! A much needed course for anyone wants to know more about the law and major issues in employment.,4.6,one_education
Criminal Intelligence Analyst - CPD Accredited,I am very happy with the course,5.0,one_education
Certificate in Copywriting - CPD Accredited,"One Education are writing a great copy for this course. It does not state, that you should have your own business or product (or indeed website) but makes it open to ""anyone interested in making some money writing a masterclass copy"". I do not have a business or a product (not a website). But I think I will be able to finish this course successfully. It is also very ""Americanized"" in it's contents.",3.3,one_education
Portable Appliance Testing (PAT) - CPD Accredited,,4.3,one_education
Phlebotomist Training - CPD Accredited,I am looking forward to when it starts but I haven't heard anything yet,2.0,one_education
Paralegal Training - CPD Accredited,,3.0,one_education
Nursery Teacher Training - CPD Accredited,,5.0,one_education
Chakra Healing and Balancing Online Training,,1.0,one_education
UK Employment Law - CPD Accredited,"i liked this course, it is well done, easy understandable and complete.",4.6,one_education
Paralegal Training - CPD Accredited,i buy this course to improve my legal research skills or learn how to write and this course doesn't explain anything at all it is just an index of some tips. That's all. Definitely not happy with that.,2.3,one_education
Asbestos Awareness Course - CPD Accredited,,5.0,one_education
Functional Maths Training Course - CPD Accredited,great projects,4.6,one_education
120 hours TEFL (TESOL) Masterclass - CPD Accredited,,4.3,one_education
Diploma in Lean Process and Six Sigma - CPD Accredited,Excellent little course. Certificate given immediately after completion.,5.0,one_education
UK Employment Law - CPD Accredited,"The content is interesting, the main ideas are well structured, summarized, agile and simple to make. The platform is dynamic. I hoped to find. a) Answer to the questions of each topic by a teacher or technician specialized in the subject. b) Specify the exact coding that regulates the standard. c) A worker-friendly approach seemed too focused on the needs of the employer and the company. d) Information about movements related to the defense of labor rights, pensions, health, etc ...",2.6,one_education
Speech And Language Therapy - CPD Accredited,,1.0,one_education
Diploma in Medical Secretary - CPD Accredited,This is not a course. It is general information about a medical secretery's post. Irrelevent subjects to NHS. Doesn's show you even how the EMR looks like. Nothing about audio typing. Exams are written by a 9 years old. 400 pounds to read what a medical secretary does and 9 pound for a diploma I am assamed to even use it on CV. Its a joke.,1.0,one_education
Food Safety Level 2,£18 for print it yourself E certificate very poor.,2.6,one_education
Mental Health Care Training - MCA & DOLS - CPD Accredited,"A fantastic course, well structured, a must for people who work with People in the care industry.",5.0,one_education
Self Harm - Care Assistant Training - CPD Accredited,"A must do course for anyone working with people, at risk of self harm, excellent insight,",5.0,one_education
Executive Secretarial and PA Course,,5.0,one_education
"English: Spelling, Punctuation and Grammar - CPD Accredited","Do not waste your time or money. Very poorly put together, unreliable content, difficult to understand and your certificate price is not included.",1.6,one_education
Security Management Diploma - CPD Accredited,A very American-centric and IT-centric security course. If you are looking for something for the UK and physical security possibly not the one. Ok for information and may be useful if you work with a US client or company.,3.6,one_education
HR and Payroll Administrator Course - CPD Accredited,Very good structured and interesting,5.0,one_education
Child Psychology and Child Care Diploma - CPD Accredited,,4.0,one_education
Anti-Money Laundering (AML) Training Course Level 3 - CPD Accredited,"Although I totally enjoyed the course I found it too much focused on US regulation and none of European and UK regulation, which should be included as the course if for UK and global money laundering. Also in some units it refers too much on Money exchange business whereas financial institutions and their methods should be expanded.",4.3,one_education
Phlebotomist Training - CPD Accredited,"Only just purchased, so haven't finished yet working through at own pace as I have a yr to do so, so far so good very informative and I really like it. Once I get further along I could give a better review",4.3,one_education
Computer Hacking Forensic Investigator,,5.0,one_education
Customer Service Advisor Course,,5.0,one_education
Asbestos Awareness Course - CPD Accredited,"The course itself was great i took the mock test which i failed but passed the real one first time the mock was great as it gave me a idea of which questions will be asked, which helped me pass the proper test on the first try. I hated the fact i had to pa £9 for a digital copy of the certificate as other courses its free and its only the hard copy you pay for also you have o wait 24 hours for the copy to be generated but with others its instant.",4.0,one_education
Workplace Health and Safety Advanced Diploma - CPD Accredited,"A well outlined course, with pleenty of great content. I liked the way it covered both the UK and US - this provided a nice contrast and added value.",4.6,one_education
Feline and Canine Behaviour & Psychology Level 3 - CPD Accredited,"A good course but there are no evaluations to do, no quiz or final exam. im glad i only paid the £19 and not the £425.",5.0,one_education
Security Guard Training - CPD Accredited,,5.0,one_education
Security Guard Training - CPD Accredited,,5.0,one_education
Phlebotomist Training - CPD Accredited,There is additional fee for PDF Certificates (9) and for the hard one 18 or something like that.,4.3,one_education
"English: Spelling, Punctuation and Grammar - CPD Accredited",,5.0,one_education
Office Management and Administration Diploma -CPD Accredited,"Content lacking, videos not always significant and case studies can’t see the value.",2.6,one_education
Estate Agent Diploma Level 3 - CPD Accredited,,2.3,one_education
Photography for Beginners - CPD Accredited,"Since sending the above review, I immediately received the further details, I was complaining about not receiving. I'm unable to comment on the above items, Quality of service, Course content and Value for money as I've yet to receive any course content. As soon as I've started the course, I will gladly make those requested comments.",1.3,one_education
Freelance Barber Training - CPD Accredited,"I have hairdressing ladies/gents city &guilds and both in Hairdressing council -had 2 salons and mobile rounds, many trends have changes over the years and it was good to revise and learn new styles etc-great course even for those who are novices",5.0,one_education
Phlebotomist Training - CPD Accredited,"I have now found out from a nurse that this course is not valid apparently, could you please confirm what I can do with it ?",3.6,one_education
"English: Spelling, Punctuation and Grammar - CPD Accredited",Some of the content was missing. I think an extra 9 pounds is a lot for a pdf certificate which will take 2 - 4 weeks. No sign of free Microsoft Course.,2.6,one_education
120 hours TEFL (TESOL) Masterclass - CPD Accredited,,5.0,one_education
Retail Management - CPD Accredited,I’m on the last module of this course after four months and I’ve enjoyed it. It was supposed to take longer but I’ve been studying every day. Some of the content is repetitive and basic but I have learned a few new procedures and tools that I’d never heard of. My only problem is that I don’t know how it’s going to help me progress. You won’t get hired as management without experience or undergoing further training but it’s fun for someone who has no prior knowledge of retail management.,4.0,one_education
HR and Payroll Administrator Course - CPD Accredited,"Hi, I can't seem to purchase this course. Keeps reverting back to review page. What should i do?",3.6,one_education
Phlebotomist Training - CPD Accredited,"Do not buy this course, the quality is horrible.",1.0,one_education
"Admin, Secretarial and PA Diploma Level 3 - CPD Accredited",I had numerous problems with this. Had to ask for several items that were supposed to be there. There needs to be a way to download for look at course notes. Also free downloads of programs needed. Not everyone has those on their computer.,1.0,one_education
Learning and Development Diploma - CPD Accredited,"This is a good, simple introduction to Learning and Development. Manageable, but passive (read and tick), approach. Contact from One Education was prompt. Support is available too. Lacking attention to detail (errors in grammar and punctuation, some questions poorly worded, answers in tests marked incorrect when they were correct). OK for £17 (remember certificate is extra).",3.6,one_education
Housekeeping Training Course,,5.0,one_education
Legal Secretary and Office Skills Diploma - CPD Accredited,,1.6,one_education
Legal Secretary and Office Skills Diploma - CPD Accredited,"Lots to read, so a lot of good information, however, it isn’t interative so difficult to take things in. The only interaction is a quiz after you’ve read for 38 hours so it isn’t a good course to do if you can’t retain information just by reading it. Also, there are a lot of spelling mistakes throughout and it seems very Americanised.",3.6,one_education
Cleaning Business Management - CPD Accredited,"it is all a con,the content you can get elsewhere fro free",1.0,one_education
HR and Payroll Administrator Course - CPD Accredited,On another note they did evenly fix this problem but took several times asking. Also had issues with mock test not being there - had to ask or a video not being there.,2.0,one_education
"Admin, Secretarial and PA Diploma Level 3 - CPD Accredited","I am finding this course very interesting and easy to complete there is a constant link to immediate help and a chat forum at the bottom of the page so you never feel isolated, also you can easily see your progress and how long you have to complete it at the top of the page so there is no feeling of being rushed or panic that you do not have tome to do something. All in all, I could not be more impressed",5.0,one_education
Pastry Chef Training - CPD Accredited,,4.3,one_education
Retail Sales Assistant Course - CPD Accredited,,3.6,one_education
Workplace Health and Safety Advanced Diploma - CPD Accredited,"with the incorrect information and poor customer service this really wasn't worth the money. On completion of the course I purchased the PDF and hard copy certificate costing £22, only to find out they had charged me 3 times, after weeks of emails with no reply I call them, wasting another 30 minutes on the phone with someone who could not understand a word I said I've decided to call this a loss. Avoid",1.3,one_education
Office Receptionist Course - CPD Accredited,"The course itself was insightful and I did leave with something useful. Alot of the materials were repeated from one section to another. Some of the videos were not available and some do not link with section. Worst - exam queations. 30% was on Microsoft Office - not covered in material. Another 30-40% was on the case studies - 3 major sections 12 modules. Memory or test on what learnt from actual course. I hope this helps with maybe aligning course materials, exams to what should be?",2.3,one_education
Family Outreach Support Worker Training,I have left questions but have received no replies. I don't access the course daily but when I do are returned to thd beginning. There doesn't seem to be any structure. Or inform you of any progress,3.0,one_education
Car Mechanic Training - CPD Accredited,Very helpful,5.0,one_education
Paralegal Training - CPD Accredited,Acurate content for an ideal world. In the modern environment every part of the course is not possible to follow 100% to perfection even if it would the best way handle telephone calls and office tasks.,4.0,one_education
Online Nail Technician Diploma - CPD Accredited,"Don’t waste your time on this course, it’s a load of rubbish with a few dodgy videos on YouTube chucked in for good measure. Has absolutely no advice as to what tools you’ll need or where to get supplies etc. Communication with company is zero and they’ll fail you on the exam (without any guidance as to why you’ve failed...they don’t even show you what you failed on) but happily suggest you take the exam time and again ....all at additional cost to yourself!",1.0,one_education
Health and Safety Executive Training - CPD Accredited,I gave this 3 stars for value because it was discounted to £8.99 the course content most of it copy and pasted from professional sites. The parts that were written in house were very poorly written with bad grammar and context. The exam was almost incomprehensible so poorly written as to make it difficult to decipher what the question was or what answer option was relevant to the question. Over all disappointed and left me wondering why this would be credited by any body CPD?,1.6,one_education
Microsoft Access for Beginners,"This course is very hard to follow without being provided with the same template database to follow instructors instructions. Neither are any PDFs provided. One video had two audio tracks layered over each other, rendering it impossible to hear anything. The exam is based upon things the author has talked about and nothing actually useful. After all this, the company will charge £9 for a PDF certificate!",2.0,one_education
Online Nail Technician Diploma - CPD Accredited,"I cannot imagine anyone offering insurance to someone who had completed this course!!! The whole thing is littered with spelling and grammar mistakes. The content is ridiculously superficial - anyone hoping to carry out pedicures or manicures as a business would need MUCH greater understanding of the anatomy, physiology and pathology of the nail. Appalling, and not at all what i had anticipated when the course was linked to Reed !!",1.0,one_education
Sage 50 Accounting and Payroll 2018 - CPD Accredited,Very poor service,1.0,one_education
Office Skills and Administration - CPD Accredited,"Course never received. My first enquiry was answered, apparently I had given wrong email. My payment was not refunded even though I have asked several times nor course sent to 'correct' email as requested.",1.0,one_education
SEN - Special Educational Needs Teaching Assistant Diploma - CPD Accredited,I regretted paying for this course wasted money and time wont recommend this to any one. Pls save your money and get something better. The who those online reading wasn't organise well enough. Am glad it wasn't too expensive i would have been soo angry. Would never recommend buying any course from this organisation.,1.0,one_education
IT Administrator Diploma,Old videos only. Latest OP is Windows 8.,4.0,janets
Minute Taking Course - CPD Certified,,5.0,janets
Microsoft Office 2019 - CPD Accredited,Course is great. I have only recently started it but have already learnt a lot. The pace is good.,5.0,janets
"Office Admin, Secretarial and PA Diploma - CPD Certified",I'm so glad I got my course at a discount price - the content was badly written,2.3,janets
Sage 50 Payroll Complete Course - CPD Certified,brilliant,5.0,janets
Become an IT Professional (Pack of 5 Professional IT Courses) - Certificate Included,,5.0,janets
Health and Social Care Course,,5.0,janets
Diploma in Hairdressing - CPD Certified,"Amazing I couldn't believe the deal I recieved. Well worth the money. The tutorials make the course easier to understand. Brilliant job, can't wait to start a new course after this one.",4.6,janets
